AOBT,SCLK,LMST,LTST,UTC,PRESSURE,PRESSURE_FREQUENCY,PRESSURE_TEMP,PRESSURE_TEMP_FREQUENCY
597422572.000,597422560.373,00010M14:32:24.240,00010 13:48:51,2018-341T02:43:06.024Z,723.8890,20.0,269.2881,20.0
597422572.050,597422560.423,00010M14:32:24.288,00010 13:48:51,2018-341T02:43:06.074Z,723.8783,20.0,269.2885,20.0
597422572.100,597422560.473,00010M14:32:24.337,00010 13:48:51,2018-341T02:43:06.124Z,723.8505,20.0,269.2884,20.0
597422572.150,597422560.523,00010M14:32:24.386,00010 13:48:51,2018-341T02:43:06.174Z,723.8603,20.0,269.2879,20.0
597422572.200,597422560.573,00010M14:32:24.434,00010 13:48:51,2018-341T02:43:06.224Z,723.8624,20.0,269.2880,20.0
597422572.250,597422560.623,00010M14:32:24.483,00010 13:48:51,2018-341T02:43:06.274Z,723.8439,20.0,269.2874,20.0
597422572.300,597422560.673,00010M14:32:24.532,00010 13:48:51,2018-341T02:43:06.324Z,723.8293,20.0,269.2873,20.0
597422572.350,597422560.723,00010M14:32:24.580,00010 13:48:51,2018-341T02:43:06.374Z,723.8403,20.0,269.2874,20.0
597422572.400,597422560.773,00010M14:32:24.629,00010 13:48:51,2018-341T02:43:06.424Z,723.8642,20.0,269.2875,20.0
597422572.450,597422560.823,00010M14:32:24.678,00010 13:48:51,2018-341T02:43:06.474Z,723.8981,20.0,269.2882,20.0
597422572.500,597422560.873,00010M14:32:24.726,00010 13:48:51,2018-341T02:43:06.524Z,723.9176,20.0,269.2884,20.0
597422572.550,597422560.923,00010M14:32:24.775,00010 13:48:51,2018-341T02:43:06.574Z,723.9308,20.0,269.2888,20.0
597422572.600,597422560.973,00010M14:32:24.824,00010 13:48:51,2018-341T02:43:06.624Z,723.9224,20.0,269.2896,20.0
597422572.650,597422561.023,00010M14:32:24.872,00010 13:48:52,2018-341T02:43:06.674Z,723.9146,20.0,269.2899,20.0
597422572.700,597422561.073,00010M14:32:24.921,00010 13:48:52,2018-341T02:43:06.724Z,723.9177,20.0,269.2892,20.0
597422572.750,597422561.123,00010M14:32:24.969,00010 13:48:52,2018-341T02:43:06.774Z,723.9347,20.0,269.2892,20.0
597422572.800,597422561.173,00010M14:32:25.018,00010 13:48:52,2018-341T02:43:06.824Z,723.9352,20.0,269.2893,20.0
597422572.850,597422561.223,00010M14:32:25.067,00010 13:48:52,2018-341T02:43:06.874Z,723.9094,20.0,269.2887,20.0
597422572.900,597422561.273,00010M14:32:25.115,00010 13:48:52,2018-341T02:43:06.924Z,723.9128,20.0,269.2881,20.0
597422572.950,597422561.323,00010M14:32:25.164,00010 13:48:52,2018-341T02:43:06.974Z,723.9219,20.0,269.2882,20.0
597422573.000,597422561.373,00010M14:32:25.213,00010 13:48:52,2018-341T02:43:07.024Z,723.9223,20.0,269.2883,20.0
597422573.050,597422561.423,00010M14:32:25.261,00010 13:48:52,2018-341T02:43:07.074Z,723.9025,20.0,269.2887,20.0
597422573.100,597422561.473,00010M14:32:25.310,00010 13:48:52,2018-341T02:43:07.124Z,723.8663,20.0,269.2890,20.0
597422573.150,597422561.523,00010M14:32:25.359,00010 13:48:52,2018-341T02:43:07.174Z,723.8413,20.0,269.2891,20.0
597422573.200,597422561.573,00010M14:32:25.407,00010 13:48:52,2018-341T02:43:07.224Z,723.8390,20.0,269.2889,20.0
597422573.250,597422561.623,00010M14:32:25.456,00010 13:48:52,2018-341T02:43:07.274Z,723.8380,20.0,269.2888,20.0
597422573.300,597422561.673,00010M14:32:25.505,00010 13:48:52,2018-341T02:43:07.324Z,723.8521,20.0,269.2888,20.0
597422573.350,597422561.723,00010M14:32:25.553,00010 13:48:52,2018-341T02:43:07.374Z,723.8667,20.0,269.2889,20.0
597422573.400,597422561.773,00010M14:32:25.602,00010 13:48:52,2018-341T02:43:07.424Z,723.8792,20.0,269.2891,20.0
597422573.450,597422561.823,00010M14:32:25.651,00010 13:48:52,2018-341T02:43:07.474Z,723.8905,20.0,269.2890,20.0
597422573.500,597422561.873,00010M14:32:25.699,00010 13:48:52,2018-341T02:43:07.524Z,723.9014,20.0,269.2890,20.0
597422573.550,597422561.923,00010M14:32:25.748,00010 13:48:52,2018-341T02:43:07.574Z,723.9130,20.0,269.2888,20.0
597422573.600,597422561.973,00010M14:32:25.797,00010 13:48:52,2018-341T02:43:07.624Z,723.8938,20.0,269.2888,20.0
597422573.650,597422562.023,00010M14:32:25.845,00010 13:48:52,2018-341T02:43:07.674Z,723.8723,20.0,269.2891,20.0
597422573.700,597422562.073,00010M14:32:25.894,00010 13:48:53,2018-341T02:43:07.724Z,723.8569,20.0,269.2894,20.0
597422573.750,597422562.123,00010M14:32:25.943,00010 13:48:53,2018-341T02:43:07.774Z,723.8469,20.0,269.2895,20.0
597422573.800,597422562.173,00010M14:32:25.991,00010 13:48:53,2018-341T02:43:07.824Z,723.8503,20.0,269.2895,20.0
597422573.850,597422562.223,00010M14:32:26.040,00010 13:48:53,2018-341T02:43:07.874Z,723.8757,20.0,269.2893,20.0
597422573.900,597422562.273,00010M14:32:26.089,00010 13:48:53,2018-341T02:43:07.924Z,723.8846,20.0,269.2894,20.0
597422573.950,597422562.323,00010M14:32:26.137,00010 13:48:53,2018-341T02:43:07.974Z,723.8654,20.0,269.2896,20.0
597422574.000,597422562.373,00010M14:32:26.186,00010 13:48:53,2018-341T02:43:08.024Z,723.8503,20.0,269.2898,20.0
597422574.050,597422562.423,00010M14:32:26.235,00010 13:48:53,2018-341T02:43:08.074Z,723.8487,20.0,269.2898,20.0
597422574.100,597422562.473,00010M14:32:26.283,00010 13:48:53,2018-341T02:43:08.124Z,723.8510,20.0,269.2895,20.0
597422574.150,597422562.523,00010M14:32:26.332,00010 13:48:53,2018-341T02:43:08.174Z,723.8500,20.0,269.2896,20.0
597422574.200,597422562.573,00010M14:32:26.381,00010 13:48:53,2018-341T02:43:08.224Z,723.8503,20.0,269.2897,20.0
597422574.250,597422562.623,00010M14:32:26.429,00010 13:48:53,2018-341T02:43:08.274Z,723.8473,20.0,269.2896,20.0
597422574.300,597422562.673,00010M14:32:26.478,00010 13:48:53,2018-341T02:43:08.324Z,723.8271,20.0,269.2897,20.0
597422574.350,597422562.723,00010M14:32:26.527,00010 13:48:53,2018-341T02:43:08.374Z,723.8177,20.0,269.2899,20.0
597422574.400,597422562.773,00010M14:32:26.575,00010 13:48:53,2018-341T02:43:08.424Z,723.8327,20.0,269.2900,20.0
597422574.450,597422562.823,00010M14:32:26.624,00010 13:48:53,2018-341T02:43:08.474Z,723.8554,20.0,269.2902,20.0
597422574.500,597422562.873,00010M14:32:26.673,00010 13:48:53,2018-341T02:43:08.524Z,723.8539,20.0,269.2900,20.0
597422574.550,597422562.923,00010M14:32:26.721,00010 13:48:53,2018-341T02:43:08.574Z,723.8568,20.0,269.2898,20.0
597422574.600,597422562.973,00010M14:32:26.770,00010 13:48:53,2018-341T02:43:08.624Z,723.8719,20.0,269.2896,20.0
597422574.650,597422563.023,00010M14:32:26.819,00010 13:48:53,2018-341T02:43:08.674Z,723.8723,20.0,269.2895,20.0
597422574.700,597422563.073,00010M14:32:26.867,00010 13:48:54,2018-341T02:43:08.724Z,723.8771,20.0,269.2893,20.0
597422574.750,597422563.123,00010M14:32:26.916,00010 13:48:54,2018-341T02:43:08.774Z,723.8917,20.0,269.2897,20.0
597422574.800,597422563.173,00010M14:32:26.965,00010 13:48:54,2018-341T02:43:08.824Z,723.9119,20.0,269.2898,20.0
597422574.850,597422563.223,00010M14:32:27.013,00010 13:48:54,2018-341T02:43:08.874Z,723.9380,20.0,269.2899,20.0
597422574.900,597422563.273,00010M14:32:27.062,00010 13:48:54,2018-341T02:43:08.924Z,723.9223,20.0,269.2899,20.0
597422574.950,597422563.323,00010M14:32:27.111,00010 13:48:54,2018-341T02:43:08.974Z,723.9175,20.0,269.2898,20.0
597422575.000,597422563.373,00010M14:32:27.159,00010 13:48:54,2018-341T02:43:09.024Z,723.9185,20.0,269.2900,20.0
597422575.050,597422563.423,00010M14:32:27.208,00010 13:48:54,2018-341T02:43:09.074Z,723.8964,20.0,269.2902,20.0
597422575.100,597422563.473,00010M14:32:27.257,00010 13:48:54,2018-341T02:43:09.124Z,723.8864,20.0,269.2901,20.0
597422575.150,597422563.523,00010M14:32:27.305,00010 13:48:54,2018-341T02:43:09.174Z,723.8886,20.0,269.2903,20.0
597422575.200,597422563.573,00010M14:32:27.354,00010 13:48:54,2018-341T02:43:09.224Z,723.9023,20.0,269.2904,20.0
597422575.250,597422563.623,00010M14:32:27.403,00010 13:48:54,2018-341T02:43:09.274Z,723.9222,20.0,269.2902,20.0
597422575.300,597422563.673,00010M14:32:27.451,00010 13:48:54,2018-341T02:43:09.324Z,723.9420,20.0,269.2904,20.0
597422575.350,597422563.723,00010M14:32:27.500,00010 13:48:54,2018-341T02:43:09.374Z,723.9542,20.0,269.2905,20.0
597422575.400,597422563.773,00010M14:32:27.549,00010 13:48:54,2018-341T02:43:09.424Z,723.9648,20.0,269.2907,20.0
597422575.450,597422563.823,00010M14:32:27.597,00010 13:48:54,2018-341T02:43:09.474Z,723.9871,20.0,269.2908,20.0
597422575.500,597422563.873,00010M14:32:27.646,00010 13:48:54,2018-341T02:43:09.524Z,723.9979,20.0,269.2909,20.0
597422575.550,597422563.923,00010M14:32:27.695,00010 13:48:54,2018-341T02:43:09.574Z,724.0090,20.0,269.2909,20.0
597422575.600,597422563.973,00010M14:32:27.743,00010 13:48:54,2018-341T02:43:09.624Z,724.0085,20.0,269.2908,20.0
597422575.650,597422564.023,00010M14:32:27.792,00010 13:48:54,2018-341T02:43:09.674Z,724.0043,20.0,269.2909,20.0
597422575.700,597422564.073,00010M14:32:27.841,00010 13:48:54,2018-341T02:43:09.724Z,723.9783,20.0,269.2910,20.0
597422575.750,597422564.123,00010M14:32:27.889,00010 13:48:55,2018-341T02:43:09.774Z,723.9638,20.0,269.2909,20.0
597422575.800,597422564.173,00010M14:32:27.938,00010 13:48:55,2018-341T02:43:09.824Z,723.9521,20.0,269.2908,20.0
597422575.850,597422564.223,00010M14:32:27.987,00010 13:48:55,2018-341T02:43:09.874Z,723.9454,20.0,269.2907,20.0
597422575.900,597422564.273,00010M14:32:28.035,00010 13:48:55,2018-341T02:43:09.924Z,723.9309,20.0,269.2908,20.0
597422575.950,597422564.323,00010M14:32:28.084,00010 13:48:55,2018-341T02:43:09.974Z,723.9182,20.0,269.2907,20.0
597422576.000,597422564.373,00010M14:32:28.133,00010 13:48:55,2018-341T02:43:10.024Z,723.9147,20.0,269.2911,20.0
597422576.050,597422564.423,00010M14:32:28.181,00010 13:48:55,2018-341T02:43:10.074Z,723.9337,20.0,269.2913,20.0
597422576.100,597422564.473,00010M14:32:28.230,00010 13:48:55,2018-341T02:43:10.124Z,723.9588,20.0,269.2916,20.0
597422576.150,597422564.523,00010M14:32:28.279,00010 13:48:55,2018-341T02:43:10.174Z,723.9784,20.0,269.2915,20.0
597422576.200,597422564.573,00010M14:32:28.327,00010 13:48:55,2018-341T02:43:10.224Z,723.9848,20.0,269.2918,20.0
597422576.250,597422564.623,00010M14:32:28.376,00010 13:48:55,2018-341T02:43:10.274Z,723.9756,20.0,269.2917,20.0
597422576.300,597422564.673,00010M14:32:28.425,00010 13:48:55,2018-341T02:43:10.324Z,723.9611,20.0,269.2917,20.0
597422576.350,597422564.723,00010M14:32:28.473,00010 13:48:55,2018-341T02:43:10.374Z,723.9576,20.0,269.2917,20.0
597422576.400,597422564.773,00010M14:32:28.522,00010 13:48:55,2018-341T02:43:10.424Z,723.9722,20.0,269.2917,20.0
597422576.450,597422564.823,00010M14:32:28.570,00010 13:48:55,2018-341T02:43:10.474Z,723.9835,20.0,269.2925,20.0
597422576.500,597422564.873,00010M14:32:28.619,00010 13:48:55,2018-341T02:43:10.524Z,723.9954,20.0,269.2931,20.0
597422576.550,597422564.923,00010M14:32:28.668,00010 13:48:55,2018-341T02:43:10.574Z,723.9837,20.0,269.2928,20.0
597422576.600,597422564.973,00010M14:32:28.716,00010 13:48:55,2018-341T02:43:10.624Z,723.9651,20.0,269.2931,20.0
597422576.650,597422565.023,00010M14:32:28.765,00010 13:48:55,2018-341T02:43:10.674Z,723.9674,20.0,269.2932,20.0
597422576.700,597422565.073,00010M14:32:28.814,00010 13:48:55,2018-341T02:43:10.724Z,723.9816,20.0,269.2933,20.0
597422576.750,597422565.123,00010M14:32:28.862,00010 13:48:56,2018-341T02:43:10.774Z,723.9686,20.0,269.2935,20.0
597422576.800,597422565.173,00010M14:32:28.911,00010 13:48:56,2018-341T02:43:10.824Z,723.9635,20.0,269.2937,20.0
597422576.850,597422565.223,00010M14:32:28.960,00010 13:48:56,2018-341T02:43:10.874Z,723.9702,20.0,269.2935,20.0
597422576.900,597422565.273,00010M14:32:29.008,00010 13:48:56,2018-341T02:43:10.924Z,723.9961,20.0,269.2934,20.0
597422576.950,597422565.323,00010M14:32:29.057,00010 13:48:56,2018-341T02:43:10.974Z,724.0178,20.0,269.2934,20.0
597422577.000,597422565.373,00010M14:32:29.106,00010 13:48:56,2018-341T02:43:11.024Z,723.9979,20.0,269.2938,20.0
597422577.050,597422565.423,00010M14:32:29.154,00010 13:48:56,2018-341T02:43:11.074Z,723.9812,20.0,269.2938,20.0
597422577.100,597422565.473,00010M14:32:29.203,00010 13:48:56,2018-341T02:43:11.124Z,723.9872,20.0,269.2940,20.0
597422577.150,597422565.523,00010M14:32:29.252,00010 13:48:56,2018-341T02:43:11.174Z,723.9998,20.0,269.2941,20.0
597422577.200,597422565.573,00010M14:32:29.300,00010 13:48:56,2018-341T02:43:11.224Z,723.9944,20.0,269.2937,20.0
597422577.250,597422565.623,00010M14:32:29.349,00010 13:48:56,2018-341T02:43:11.274Z,723.9722,20.0,269.2937,20.0
597422577.300,597422565.673,00010M14:32:29.398,00010 13:48:56,2018-341T02:43:11.324Z,723.9576,20.0,269.2939,20.0
597422577.350,597422565.723,00010M14:32:29.446,00010 13:48:56,2018-341T02:43:11.374Z,723.9601,20.0,269.2941,20.0
597422577.400,597422565.773,00010M14:32:29.495,00010 13:48:56,2018-341T02:43:11.424Z,723.9700,20.0,269.2941,20.0
597422577.450,597422565.823,00010M14:32:29.544,00010 13:48:56,2018-341T02:43:11.474Z,723.9993,20.0,269.2942,20.0
597422577.500,597422565.873,00010M14:32:29.592,00010 13:48:56,2018-341T02:43:11.524Z,724.0121,20.0,269.2941,20.0
597422577.550,597422565.923,00010M14:32:29.641,00010 13:48:56,2018-341T02:43:11.574Z,724.0015,20.0,269.2939,20.0
597422577.600,597422565.973,00010M14:32:29.690,00010 13:48:56,2018-341T02:43:11.624Z,724.0175,20.0,269.2939,20.0
