AOBT,SCLK,LMST,LTST,UTC,PRESSURE,PRESSURE_FREQUENCY,PRESSURE_TEMP,PRESSURE_TEMP_FREQUENCY
599144293.000,599144279.522,00030M00:00:00.202,00029 23:10:28,2018-361T00:58:27.863Z,744.9345,2.0,,
599144293.500,599144280.022,00030M00:00:00.688,00029 23:10:28,2018-361T00:58:28.363Z,744.9310,2.0,,
599144294.000,599144280.522,00030M00:00:01.175,00029 23:10:29,2018-361T00:58:28.863Z,744.8930,2.0,,
599144294.500,599144281.022,00030M00:00:01.662,00029 23:10:29,2018-361T00:58:29.363Z,744.8951,2.0,282.6355,0.2
599144295.000,599144281.522,00030M00:00:02.148,00029 23:10:30,2018-361T00:58:29.863Z,744.9304,2.0,,
599144295.500,599144282.022,00030M00:00:02.635,00029 23:10:30,2018-361T00:58:30.363Z,744.9255,2.0,,
599144296.000,599144282.522,00030M00:00:03.122,00029 23:10:31,2018-361T00:58:30.863Z,744.9376,2.0,,
599144296.500,599144283.022,00030M00:00:03.608,00029 23:10:31,2018-361T00:58:31.363Z,744.9296,2.0,,
599144297.000,599144283.522,00030M00:00:04.095,00029 23:10:32,2018-361T00:58:31.863Z,744.9348,2.0,,
599144297.500,599144284.022,00030M00:00:04.581,00029 23:10:32,2018-361T00:58:32.363Z,744.9573,2.0,,
599144298.000,599144284.522,00030M00:00:05.068,00029 23:10:33,2018-361T00:58:32.863Z,744.9384,2.0,,
599144298.500,599144285.022,00030M00:00:05.555,00029 23:10:33,2018-361T00:58:33.363Z,744.9401,2.0,,
599144299.000,599144285.522,00030M00:00:06.041,00029 23:10:34,2018-361T00:58:33.863Z,744.9445,2.0,,
599144299.500,599144286.022,00030M00:00:06.528,00029 23:10:34,2018-361T00:58:34.363Z,744.9561,2.0,282.6338,0.2
599144300.000,599144286.522,00030M00:00:07.015,00029 23:10:35,2018-361T00:58:34.863Z,744.9536,2.0,,
599144300.500,599144287.022,00030M00:00:07.501,00029 23:10:35,2018-361T00:58:35.363Z,744.9406,2.0,,
599144301.000,599144287.522,00030M00:00:07.988,00029 23:10:36,2018-361T00:58:35.863Z,744.9399,2.0,,
599144301.500,599144288.022,00030M00:00:08.474,00029 23:10:36,2018-361T00:58:36.363Z,744.9452,2.0,,
599144302.000,599144288.522,00030M00:00:08.961,00029 23:10:37,2018-361T00:58:36.863Z,744.9621,2.0,,
599144302.500,599144289.022,00030M00:00:09.448,00029 23:10:37,2018-361T00:58:37.363Z,744.9368,2.0,,
599144303.000,599144289.522,00030M00:00:09.934,00029 23:10:38,2018-361T00:58:37.863Z,744.9493,2.0,,
599144303.500,599144290.022,00030M00:00:10.421,00029 23:10:38,2018-361T00:58:38.363Z,744.9673,2.0,,
599144304.000,599144290.522,00030M00:00:10.908,00029 23:10:38,2018-361T00:58:38.863Z,744.9254,2.0,,
599144304.500,599144291.022,00030M00:00:11.394,00029 23:10:39,2018-361T00:58:39.363Z,744.9281,2.0,282.6317,0.2
599144305.000,599144291.522,00030M00:00:11.881,00029 23:10:39,2018-361T00:58:39.863Z,744.9505,2.0,,
