AOBT,SCLK,LMST,LTST,UTC,BMY_HORIZONTAL_WIND_SPEED,BMY_VERTICAL_WIND_SPEED,BMY_WIND_DIRECTION,BMY_WIND_FREQUENCY,BMY_WS_OPERATIONAL_FLAGS,BMY_BASE_ROD_TEMP,BMY_MID_ROD_TEMP,BMY_TIP_ROD_TEMP,BMY_AIR_TEMP_FREQUENCY,BMY_AIR_TEMP_OPERATIONAL_FLAGS,BPY_HORIZONTAL_WIND_SPEED,BPY_VERTICAL_WIND_SPEED,BPY_WIND_DIRECTION,BPY_WIND_FREQUENCY,BPY_WS_OPERATIONAL_FLAGS,BPY_BASE_ROD_TEMP,BPY_MID_ROD_TEMP,BPY_TIP_ROD_TEMP,BPY_AIR_TEMP_FREQUENCY,BPY_AIR_TEMP_OPERATIONAL_FLAGS
602340232.000,602340185.245,00066M00:00:02.286,00065 23:07:52,2019-033T00:43:38.788Z,5.609,,295.386,0.1,101,201.750,199.034,195.083,0.1,1000,2.827,,285.690,0.1,100,200.196,198.897,196.252,0.1,1000
602340242.000,602340195.245,00066M00:00:12.019,00065 23:08:02,2019-033T00:43:48.788Z,5.937,,290.377,0.1,101,201.827,199.047,195.038,0.1,1000,,,,0.1,100,200.100,198.833,196.232,0.1,1000
602340252.000,602340205.245,00066M00:00:21.751,00065 23:08:11,2019-033T00:43:58.788Z,5.123,,300.472,0.1,101,201.905,199.028,195.063,0.1,1000,2.162,,290.643,0.1,100,200.032,198.815,196.240,0.1,1000
602340262.000,602340215.245,00066M00:00:31.484,00065 23:08:21,2019-033T00:44:08.788Z,4.616,,295.386,0.1,101,201.621,199.040,195.012,0.1,1000,1.830,,290.643,0.1,100,200.001,198.746,196.265,0.1,1000
602340272.000,602340225.244,00066M00:00:41.215,00065 23:08:31,2019-033T00:44:18.787Z,4.961,,300.472,0.1,101,201.853,199.137,195.115,0.1,1000,2.163,,290.643,0.1,100,200.051,198.809,196.284,0.1,1000
602340282.000,602340235.244,00066M00:00:50.948,00065 23:08:41,2019-033T00:44:28.787Z,4.456,,300.397,0.1,101,201.834,199.105,195.140,0.1,1000,,,,0.1,100,200.007,198.847,196.296,0.1,1000
602340292.000,602340245.244,00066M00:01:00.680,00065 23:08:50,2019-033T00:44:38.787Z,4.951,,300.397,0.1,101,201.692,199.040,195.128,0.1,1000,2.663,,290.643,0.1,100,200.040,198.892,196.323,0.1,1000
602340302.000,602340255.244,00066M00:01:10.413,00065 23:09:00,2019-033T00:44:48.787Z,5.775,,300.397,0.1,101,201.821,199.073,195.121,0.1,1000,1.831,,290.643,0.1,100,200.048,198.843,196.318,0.1,1000
602340312.000,602340265.244,00066M00:01:20.145,00065 23:09:10,2019-033T00:44:58.787Z,4.781,,300.397,0.1,101,201.851,199.052,195.043,0.1,1000,1.830,,290.643,0.1,100,200.128,198.848,196.254,0.1,1000
602340322.000,602340275.244,00066M00:01:29.878,00065 23:09:20,2019-033T00:45:08.787Z,4.784,,295.386,0.1,101,201.782,199.066,195.095,0.1,1000,,,,0.1,100,200.029,198.906,196.236,0.1,1000
602340332.000,602340285.243,00066M00:01:39.609,00065 23:09:29,2019-033T00:45:18.786Z,4.285,,295.386,0.1,101,201.840,199.028,194.999,0.1,1000,1.997,,295.595,0.1,100,199.964,198.791,196.272,0.1,1000
602340342.000,602340295.243,00066M00:01:49.342,00065 23:09:39,2019-033T00:45:28.786Z,5.604,,295.386,0.1,101,201.814,199.086,195.005,0.1,1000,1.828,,290.643,0.1,100,200.029,198.736,196.199,0.1,1000
602340352.000,602340305.243,00066M00:01:59.074,00065 23:09:49,2019-033T00:45:38.786Z,5.934,,295.386,0.1,101,201.929,199.104,195.011,0.1,1000,1.994,,285.690,0.1,100,200.003,198.749,196.186,0.1,1000
602340362.000,602340315.243,00066M00:02:08.806,00065 23:09:59,2019-033T00:45:48.786Z,4.781,,290.377,0.1,101,201.769,199.086,195.025,0.1,1000,,,,0.1,100,199.966,198.793,196.192,0.1,1000
602340372.000,602340325.243,00066M00:02:18.539,00065 23:10:08,2019-033T00:45:58.786Z,4.615,,300.397,0.1,101,201.756,198.976,195.031,0.1,1000,2.494,,290.643,0.1,100,199.954,198.788,196.237,0.1,1000
602340382.000,602340335.243,00066M00:02:28.271,00065 23:10:18,2019-033T00:46:08.786Z,4.624,,300.472,0.1,101,201.892,199.060,195.012,0.1,1000,1.995,,290.643,0.1,100,199.820,198.742,196.211,0.1,1000
602340392.000,602340345.243,00066M00:02:38.004,00065 23:10:28,2019-033T00:46:18.786Z,5.935,,300.397,0.1,101,201.935,199.078,195.056,0.1,1000,2.659,,285.690,0.1,100,199.910,198.737,196.231,0.1,1000
602340402.000,602340355.242,00066M00:02:47.735,00065 23:10:37,2019-033T00:46:28.785Z,4.462,,300.472,0.1,101,201.808,199.079,195.076,0.1,1000,2.162,,295.595,0.1,100,199.861,198.795,196.245,0.1,1000
602340412.000,602340365.242,00066M00:02:57.468,00065 23:10:47,2019-033T00:46:38.785Z,5.606,,295.386,0.1,101,201.781,199.078,195.056,0.1,1000,,,,0.1,100,199.937,198.720,196.270,0.1,1000
602340422.000,602340375.242,00066M00:03:07.200,00065 23:10:57,2019-033T00:46:48.785Z,5.276,,300.397,0.1,101,201.819,199.059,195.062,0.1,1000,2.161,,290.643,0.1,100,199.968,198.707,196.239,0.1,1000
602340432.000,602340385.242,00066M00:03:16.933,00065 23:11:07,2019-033T00:46:58.785Z,4.945,,300.397,0.1,101,201.885,199.086,195.044,0.1,1000,,,,0.1,100,199.976,198.784,196.190,0.1,1000
602340442.000,602340395.242,00066M00:03:26.665,00065 23:11:16,2019-033T00:47:08.785Z,4.617,,300.397,0.1,101,201.879,199.079,195.070,0.1,1000,3.159,,290.643,0.1,100,199.875,198.752,196.246,0.1,1000
602340452.000,602340405.242,00066M00:03:36.398,00065 23:11:26,2019-033T00:47:18.785Z,5.111,,300.397,0.1,101,201.897,199.071,195.068,0.1,1000,1.994,,285.690,0.1,100,199.856,198.721,196.227,0.1,1000
602340462.000,602340415.241,00066M00:03:46.129,00065 23:11:36,2019-033T00:47:28.784Z,6.269,,290.377,0.1,101,201.731,199.066,195.095,0.1,1000,1.828,,290.643,0.1,100,199.883,198.666,196.197,0.1,1000
602340472.000,602340425.241,00066M00:03:55.862,00065 23:11:46,2019-033T00:47:38.784Z,5.277,,295.386,0.1,101,201.781,199.084,195.075,0.1,1000,,,,0.1,100,199.927,198.716,196.216,0.1,1000
602340482.000,602340435.241,00066M00:04:05.594,00065 23:11:55,2019-033T00:47:48.784Z,5.125,,300.472,0.1,101,201.755,199.084,195.120,0.1,1000,2.658,,285.690,0.1,100,199.933,198.728,196.179,0.1,1000
602340492.000,602340445.241,00066M00:04:15.326,00065 23:12:05,2019-033T00:47:58.784Z,5.446,,300.397,0.1,101,201.748,199.097,195.165,0.1,1000,1.995,,290.643,0.1,100,199.908,198.710,196.216,0.1,1000
602340502.000,602340455.241,00066M00:04:25.059,00065 23:12:15,2019-033T00:48:08.784Z,4.618,,300.397,0.1,101,201.877,199.033,195.107,0.1,1000,1.829,,290.643,0.1,100,199.845,198.672,196.229,0.1,1000
