AOBT,SCLK,LMST,LTST,UTC,BMY_HORIZONTAL_WIND_SPEED,BMY_VERTICAL_WIND_SPEED,BMY_WIND_DIRECTION,BMY_WIND_FREQUENCY,BMY_WS_OPERATIONAL_FLAGS,BMY_BASE_ROD_TEMP,BMY_MID_ROD_TEMP,BMY_TIP_ROD_TEMP,BMY_AIR_TEMP_FREQUENCY,BMY_AIR_TEMP_OPERATIONAL_FLAGS,BPY_HORIZONTAL_WIND_SPEED,BPY_VERTICAL_WIND_SPEED,BPY_WIND_DIRECTION,BPY_WIND_FREQUENCY,BPY_WS_OPERATIONAL_FLAGS,BPY_BASE_ROD_TEMP,BPY_MID_ROD_TEMP,BPY_TIP_ROD_TEMP,BPY_AIR_TEMP_FREQUENCY,BPY_AIR_TEMP_OPERATIONAL_FLAGS
605269769.000,605269761.980,00099M00:00:00.701,00098 23:13:07,2019-066T22:30:00.210Z,,,,,,,,,,,1.748,,290.643,0.1,100,195.916,194.662,191.662,0.1,1000
605269770.000,605269762.980,00099M00:00:01.674,00098 23:13:08,2019-066T22:30:01.210Z,2.366,,275.359,0.1,101,199.250,195.945,190.545,0.1,1000,,,,,,,,,,
605269779.000,605269771.980,00099M00:00:10.433,00098 23:13:16,2019-066T22:30:10.210Z,,,,,,,,,,,,,,0.1,100,195.739,194.612,191.519,0.1,1000
605269780.000,605269772.980,00099M00:00:11.406,00098 23:13:17,2019-066T22:30:11.210Z,2.209,,280.363,0.1,101,199.281,195.957,190.589,0.1,1000,,,,,,,,,,
605269789.000,605269781.980,00099M00:00:20.166,00098 23:13:26,2019-066T22:30:20.210Z,,,,,,,,,,,,,,0.1,100,195.834,194.624,191.544,0.1,1000
605269790.000,605269782.980,00099M00:00:21.139,00098 23:13:27,2019-066T22:30:21.210Z,2.682,,275.359,0.1,101,199.358,195.976,190.576,0.1,1000,,,,,,,,,,
605269799.000,605269791.980,00099M00:00:29.898,00098 23:13:36,2019-066T22:30:30.210Z,,,,,,,,,,,,,,0.1,100,195.766,194.594,191.589,0.1,1000
605269800.000,605269792.980,00099M00:00:30.871,00098 23:13:37,2019-066T22:30:31.210Z,2.367,,280.363,0.1,101,199.295,195.919,190.597,0.1,1000,,,,,,,,,,
605269809.000,605269801.980,00099M00:00:39.631,00098 23:13:46,2019-066T22:30:40.210Z,,,,,,,,,,,,,,0.1,100,195.810,194.613,191.595,0.1,1000
605269810.000,605269802.980,00099M00:00:40.604,00098 23:13:47,2019-066T22:30:41.210Z,2.526,,275.359,0.1,101,199.229,195.937,190.627,0.1,1000,,,,,,,,,,
605269819.000,605269811.980,00099M00:00:49.363,00098 23:13:55,2019-066T22:30:50.210Z,,,,,,,,,,,,,,0.1,100,195.797,194.594,191.551,0.1,1000
605269820.000,605269812.980,00099M00:00:50.336,00098 23:13:56,2019-066T22:30:51.210Z,2.208,,275.359,0.1,101,199.141,195.855,190.539,0.1,1000,,,,,,,,,,
