AOBT,SCLK,LMST,LTST,UTC,BMY_HORIZONTAL_WIND_SPEED,BMY_VERTICAL_WIND_SPEED,BMY_WIND_DIRECTION,BMY_WIND_FREQUENCY,BMY_WS_OPERATIONAL_FLAGS,BMY_BASE_ROD_TEMP,BMY_MID_ROD_TEMP,BMY_TIP_ROD_TEMP,BMY_AIR_TEMP_FREQUENCY,BMY_AIR_TEMP_OPERATIONAL_FLAGS,BPY_HORIZONTAL_WIND_SPEED,BPY_VERTICAL_WIND_SPEED,BPY_WIND_DIRECTION,BPY_WIND_FREQUENCY,BPY_WS_OPERATIONAL_FLAGS,BPY_BASE_ROD_TEMP,BPY_MID_ROD_TEMP,BPY_TIP_ROD_TEMP,BPY_AIR_TEMP_FREQUENCY,BPY_AIR_TEMP_OPERATIONAL_FLAGS
599714463.000,599714455.867,00036M10:08:42.003,00036 09:17:55,2019-002T15:21:25.158Z,2.527,,280.363,1,111,230.109,226.779,221.714,1,1101,0.723,,359.981,1,110,238.323,238.980,238.005,1,1101
599714464.000,599714456.867,00036M10:08:42.976,00036 09:17:56,2019-002T15:21:26.158Z,2.527,,275.359,1,111,230.148,226.864,221.669,1,1101,0.972,,30.455,1,111,238.243,239.003,238.047,1,1101
599714465.000,599714457.867,00036M10:08:43.950,00036 09:17:57,2019-002T15:21:27.158Z,2.741,,280.363,1,111,230.186,226.889,221.830,1,1101,0.965,,355.024,1,110,238.288,239.010,238.085,1,1101
599714466.000,599714458.867,00036M10:08:44.923,00036 09:17:58,2019-002T15:21:28.158Z,2.738,,270.357,1,111,230.168,227.000,221.688,1,1101,0.726,,315.401,1,110,238.296,239.062,238.157,1,1101
599714467.000,599714459.867,00036M10:08:45.896,00036 09:17:59,2019-002T15:21:29.158Z,3.367,,270.357,1,111,230.153,226.876,221.583,1,1101,0.726,,330.256,1,110,238.224,238.971,238.238,1,1101
599714468.000,599714460.867,00036M10:08:46.869,00036 09:18:00,2019-002T15:21:30.158Z,,,,1,110,230.264,226.947,221.668,1,1101,0.967,,340.161,1,110,238.307,239.035,238.130,1,1101
599714469.000,599714461.867,00036M10:08:47.843,00036 09:18:01,2019-002T15:21:31.158Z,,,,1,110,230.290,227.019,221.687,1,1101,0.726,,330.256,1,110,238.262,239.060,238.175,1,1101
599714470.000,599714462.867,00036M10:08:48.816,00036 09:18:02,2019-002T15:21:32.158Z,5.230,,265.870,1,111,230.243,226.952,221.699,1,1101,,,,1,110,238.224,238.978,238.257,1,1101
599714471.000,599714463.867,00036M10:08:49.789,00036 09:18:03,2019-002T15:21:33.158Z,5.439,,265.870,1,111,230.256,226.894,221.686,1,1101,0.973,,210.455,1,110,238.178,239.027,238.192,1,1101
599714472.000,599714464.867,00036M10:08:50.762,00036 09:18:04,2019-002T15:21:34.158Z,5.641,,265.870,1,111,230.295,226.920,221.550,1,1101,3.131,,250.988,1,110,238.324,239.160,238.191,1,1101
599714473.000,599714465.867,00036M10:08:51.736,00036 09:18:05,2019-002T15:21:35.158Z,5.680,,265.613,1,111,230.171,226.777,221.491,1,1101,0.725,,315.401,1,110,238.440,239.155,238.116,1,1101
